"","year","Murder","Brazil","Colombia","France","Iraq","Syria","Government","Military","Political","Male","Local","Freelance","War"
"302",2013,1,0,0,0,0,0,0,0,1,1,0,0,1
"304",1999,0,0,0,0,0,0,0,1,0,1,1,0,0
"305",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"306",1994,0,0,0,0,0,0,0,1,0,0,0,1,1
"307",2005,1,0,0,0,0,0,1,0,0,1,1,1,0
"308",2015,1,0,0,0,0,0,0,0,1,0,1,0,1
"309",1993,1,0,0,0,0,0,0,0,0,1,0,0,1
"310",2002,1,0,0,0,0,0,0,0,1,1,0,0,0
"311",2015,1,0,0,0,0,0,1,0,0,1,1,0,0
"312",1992,1,0,0,0,0,0,0,0,0,1,1,0,0
"313",1997,1,0,0,0,0,0,0,0,0,1,1,0,0
"314",2017,1,0,0,0,0,0,0,0,0,0,1,1,0
"315",1994,0,0,0,0,0,0,0,0,0,1,0,0,1
"316",2011,1,0,0,0,0,0,1,0,0,1,1,0,0
"317",2015,1,0,0,0,0,0,0,0,1,1,1,0,0
"318",2012,0,0,0,0,0,0,0,1,0,1,1,0,0
"319",1993,0,0,0,0,0,0,0,1,0,1,1,0,1
"320",2016,0,0,0,0,0,0,0,0,1,1,0,0,1
"321",1992,0,0,0,0,0,0,0,1,0,1,0,0,1
"322",2010,1,0,0,0,0,0,1,0,0,1,1,0,0
"323",2012,1,1,0,0,0,0,0,0,0,1,1,0,0
"324",2004,1,0,0,0,0,0,0,0,1,1,1,0,0
"325",2008,1,0,0,0,0,0,0,0,1,1,1,0,0
"326",2018,1,0,0,0,0,0,1,0,0,1,1,0,0
"327",2010,1,0,0,0,0,0,1,0,0,1,1,1,0
"330",2005,1,0,0,0,0,0,1,0,0,1,1,0,1
"331",2004,0,0,0,0,1,0,0,1,0,1,1,1,1
"332",2017,0,0,0,0,0,1,0,0,1,0,1,0,1
"333",2004,1,0,0,0,1,0,0,0,1,1,1,0,1
"334",1993,1,0,0,0,0,0,0,0,1,1,1,0,0
"335",2015,1,1,0,0,0,0,1,0,0,1,1,0,0
"337",1996,1,0,0,0,0,0,0,0,1,1,1,0,1
"339",1996,1,0,0,0,0,0,0,0,1,1,1,0,1
"340",2007,0,0,0,0,1,0,0,0,1,1,0,1,1
"341",1994,1,0,0,0,0,0,0,1,0,1,1,0,0
"342",1993,1,0,0,0,0,0,1,0,0,1,1,0,0
"343",2017,1,0,0,0,0,0,1,0,0,1,1,0,0
"344",2003,1,0,0,0,0,0,1,0,0,1,1,0,1
"345",2005,1,0,0,0,0,0,0,0,0,0,1,0,0
"346",2002,1,1,0,0,0,0,0,0,0,1,1,0,0
"347",1993,0,0,0,0,0,0,0,0,1,1,0,1,1
"348",1993,1,0,0,0,0,0,0,0,1,1,1,0,0
"349",2005,0,0,0,0,0,0,0,0,0,0,1,0,0
"350",2004,0,0,0,0,1,0,0,0,1,1,1,0,1
"351",2004,1,0,0,0,0,0,1,0,0,1,1,0,0
"352",2012,0,0,0,0,0,0,1,0,0,1,1,0,0
"353",1997,1,0,0,0,0,0,0,0,1,1,1,0,0
"354",2002,1,0,0,0,0,0,1,0,0,1,1,0,0
"355",2017,1,0,0,0,0,0,1,0,0,1,1,1,0
"356",1997,1,1,0,0,0,0,0,0,0,1,1,0,0
"357",2014,1,0,0,0,0,0,0,0,1,1,1,0,0
"360",2001,1,0,0,0,0,0,1,0,0,1,1,0,0
"361",2012,1,1,0,0,0,0,1,0,0,1,1,0,0
"362",2019,1,0,0,0,0,0,0,0,0,1,1,0,0
"363",2007,1,0,0,0,0,0,1,0,0,1,1,1,0
"364",1998,0,0,0,0,0,0,0,0,0,1,1,0,1
"365",2002,1,0,1,0,0,0,0,0,0,1,1,0,0
"366",2010,0,0,0,0,0,0,0,0,0,1,1,0,0
"368",2016,0,0,0,0,0,0,0,0,1,1,1,0,0
"369",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"371",2009,1,0,0,0,0,0,0,0,0,1,1,0,0
"372",2005,1,0,0,0,0,0,1,0,0,1,1,0,0
"373",2004,1,0,0,0,0,0,1,0,0,1,1,0,0
"374",1993,0,0,0,0,0,0,0,1,0,1,1,0,1
"375",2015,1,0,0,1,0,0,0,0,1,0,1,1,0
"376",2020,1,0,0,0,0,0,0,0,1,1,1,0,1
"377",1994,1,0,0,0,0,0,0,0,0,1,1,1,0
"378",2012,1,0,0,0,0,0,0,0,1,1,1,0,1
"379",2004,1,0,0,0,1,0,0,0,1,1,0,1,1
"381",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"383",1994,1,0,0,0,0,0,0,0,1,1,1,0,0
"384",2003,0,0,0,0,0,0,0,1,0,1,1,0,1
"385",1994,1,0,0,0,0,0,0,1,0,1,1,0,0
"386",1993,1,0,1,0,0,0,0,0,1,1,1,0,0
"387",2015,1,1,0,0,0,0,0,0,0,1,1,0,0
"388",1998,1,0,0,0,0,0,0,0,0,1,1,0,0
"390",2014,1,0,0,0,0,0,0,0,0,1,1,0,0
"391",2015,1,0,0,0,1,0,0,0,1,1,1,0,1
"392",2008,0,0,0,0,0,0,0,1,0,1,1,0,1
"393",2005,0,0,0,0,1,0,0,0,1,1,1,0,1
"394",2001,0,0,0,0,0,0,0,0,1,1,1,0,0
"396",2011,1,0,0,0,0,0,0,0,1,1,1,0,0
"397",2005,1,0,0,0,1,0,0,0,1,1,1,1,1
"398",2007,1,0,0,0,1,0,0,0,1,1,1,0,1
"399",1992,1,0,0,0,0,0,0,0,1,1,1,0,0
"401",2015,1,0,0,0,0,0,0,0,1,1,0,0,1
"402",2011,0,0,0,0,0,0,0,0,1,1,0,0,1
"403",2012,1,0,0,0,0,0,0,0,1,1,1,0,1
"405",2014,1,0,0,0,0,0,0,0,0,1,1,0,0
"406",2003,1,0,0,0,0,0,0,0,1,1,1,1,0
"407",1996,1,0,0,0,0,0,0,0,0,1,1,1,0
"408",2001,1,0,0,0,0,0,1,0,0,1,1,0,0
"410",1994,1,0,0,0,0,0,0,0,1,1,1,0,1
"412",2006,1,0,0,0,0,0,1,0,0,1,1,1,0
"413",1992,1,0,0,0,0,0,0,1,0,1,1,1,0
"415",2013,1,0,0,0,0,0,1,0,0,1,1,0,0
"416",2011,0,0,0,0,0,1,1,0,0,1,1,1,0
"417",2007,0,0,0,0,0,0,1,0,0,1,1,0,0
"418",2013,0,0,0,0,0,1,0,1,0,1,1,0,1
"419",1999,1,0,0,0,0,0,0,1,0,1,1,1,0
"421",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"423",2015,1,0,0,0,1,0,0,0,1,1,1,0,0
"424",2005,1,0,0,0,1,0,0,0,1,1,1,0,1
"425",2014,0,0,0,0,1,0,0,0,1,1,1,0,1
"426",2001,1,0,1,0,0,0,0,0,0,1,1,0,0
"427",2015,1,0,1,0,0,0,0,0,0,0,1,0,0
"428",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"429",1994,0,0,0,0,0,0,0,1,0,1,1,1,1
"430",2004,1,0,0,0,0,0,0,0,0,1,1,1,0
"431",1997,1,0,1,0,0,0,0,0,1,1,1,0,0
"432",2010,1,1,0,0,0,0,0,0,0,1,1,0,0
"433",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"435",2019,1,0,0,0,0,0,0,0,0,1,1,0,0
"437",1996,1,0,0,0,0,0,1,0,0,1,1,0,0
"438",1997,0,0,0,0,0,0,0,0,1,1,1,0,0
"440",1999,0,0,0,0,0,0,0,0,0,1,0,0,1
"442",2011,1,0,0,0,0,0,1,0,0,1,1,0,0
"443",2017,1,0,0,0,0,0,0,0,1,0,1,0,0
"444",2005,1,0,0,0,0,0,1,0,0,1,1,0,0
"445",2005,1,0,0,0,0,0,1,0,0,1,1,0,0
"447",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"448",2009,1,0,0,0,0,0,1,0,0,1,0,0,0
"449",1992,0,0,0,0,0,0,0,1,0,1,0,0,1
"451",2006,1,0,0,0,0,0,0,0,1,1,1,1,0
"452",2015,1,0,0,1,0,0,0,0,1,1,1,0,0
"453",1998,0,0,0,0,0,0,0,1,0,1,1,0,1
"454",2000,1,0,0,0,0,0,1,0,0,1,1,0,0
"455",2001,1,0,0,0,0,0,0,0,0,1,1,0,0
"456",2018,1,0,0,0,0,0,0,0,0,1,1,0,0
"457",1997,1,0,1,0,0,0,0,0,0,1,1,0,0
"458",2015,1,1,0,0,0,0,1,0,0,1,0,0,0
"459",2011,1,0,0,0,0,0,1,0,0,1,1,0,0
"460",2010,0,0,0,0,0,0,1,0,0,1,1,0,0
"461",2014,0,0,0,0,0,0,0,0,1,1,1,0,1
"463",2013,0,0,0,0,0,1,0,1,0,1,1,1,1
"464",2004,0,0,0,0,1,0,0,0,1,1,1,1,0
"465",2018,1,0,0,0,0,0,0,0,1,1,1,0,1
"466",2013,1,0,0,0,0,0,0,0,1,0,0,0,1
"467",1994,1,0,0,0,0,0,0,0,1,1,1,1,0
"469",2010,1,0,0,0,0,0,0,0,0,1,1,0,0
"470",1996,1,0,0,0,0,0,0,0,0,1,1,0,0
"471",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"473",2009,1,0,0,0,0,0,1,0,0,0,1,1,0
"474",2015,1,1,0,0,0,0,1,0,0,1,1,0,0
"475",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"477",2014,1,0,0,0,0,0,0,0,0,1,1,0,0
"478",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"479",2008,0,0,0,0,0,0,0,1,0,1,1,1,1
"480",1993,0,0,0,0,0,0,0,1,0,1,0,1,1
"481",2015,0,0,0,1,0,0,0,0,1,1,1,1,0
"482",2003,1,0,1,0,0,0,1,0,0,1,1,0,0
"483",2012,0,0,1,0,0,0,1,0,0,1,1,1,0
"484",2001,1,0,0,0,0,0,0,0,0,1,1,0,0
"485",2000,1,0,1,0,0,0,0,0,0,1,1,0,0
"486",2006,1,0,1,0,0,0,0,0,0,1,1,0,0
"487",1999,1,0,1,0,0,0,0,0,0,1,1,0,0
"489",2013,0,0,0,0,0,0,0,1,0,0,1,1,1
"490",2017,0,0,0,0,0,0,0,0,1,1,1,0,1
"492",1992,1,0,0,0,0,0,0,0,1,1,1,0,0
"493",2008,1,0,0,0,1,0,0,0,1,1,1,0,1
"494",2009,0,0,0,0,1,0,0,0,1,1,1,0,1
"495",1992,1,0,0,0,0,0,1,0,0,1,1,0,0
"496",2007,1,0,0,0,1,0,0,0,1,1,1,1,0
"497",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"499",2018,1,0,0,0,0,1,0,0,1,1,1,0,1
"500",2012,1,0,0,0,0,0,0,1,0,1,1,0,0
"501",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"502",1993,1,0,0,0,0,0,0,0,0,1,0,0,1
"503",2017,0,0,0,0,1,0,0,0,1,1,1,0,1
"504",2001,1,0,0,0,0,0,0,0,0,1,0,0,1
"505",2005,1,0,0,0,0,0,1,0,0,1,1,0,0
"506",2002,1,0,0,0,0,0,0,0,1,1,1,0,0
"507",2016,0,0,0,0,0,0,0,1,0,1,1,0,1
"508",2016,1,0,0,0,1,0,0,0,1,1,1,0,1
"509",2011,0,0,0,0,0,0,0,0,0,1,1,1,0
